PICKUP_DATE,PICKUP_HOUR,PICKUP_YEAR,PICKUP_MONTH,PICKUP_LOCATION_ID,TRIP_COUNT,AVG_TRIP_DISTANCE_MILES,AVG_TRIP_DURATION_MINS,AVG_FARE_AMOUNT,TOTAL_FARE_AMOUNT,AVG_TIP_AMOUNT,DEMAND_TIER,TIME_SEGMENT,IS_WEEKEND,LOADED_AT,REVENUE_PER_TRIP,TIP_RATE,IS_WEEKEND_FLAG,DBT_UPDATED_AT
2024-01-01,0,,,239,238,2.58,13.62,16.39,3900.9,2.78,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,16.39,0.17,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-12,6,,,265,3,2.12,20.31,78.83,236.49,12.87,LOW,Morning Rush,FALSE,2026-06-29 12:37:33.344,78.83,0.163,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-13,12,,,265,1,17.22,60.2,53.59,53.59,0,LOW,Midday,TRUE,2026-06-29 12:37:33.344,53.59,0,TRUE,2026-06-29 13:53:12.073 -0700
2024-01-01,0,,,263,226,2.33,10.64,14.3,3231.32,2.35,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,14.3,0.164,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,0,,,75,36,2.68,12.56,18.46,664.72,1.73,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,18.46,0.094,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,0,,,88,30,4.86,18.15,26.3,789.11,3.22,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,26.3,0.122,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,0,,,255,9,2.91,19.49,17.09,153.85,1.98,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,17.09,0.116,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,246,166,2.9,42.15,26.07,4327.28,3.63,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,26.07,0.139,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,132,66,17.29,30.93,66.88,4414.1,9.9,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,66.88,0.148,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,142,251,2.78,14.34,18.71,4697,3.55,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,18.71,0.19,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,143,93,2.69,14.81,18.75,1744.2,2.7,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,18.75,0.144,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,162,142,2.52,14.79,18.26,2592.76,2.6,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,18.26,0.142,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,10,1,0,4.92,9.33,9.33,0,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,9.33,0,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,1,,,202,2,4.48,42.33,51.63,103.25,5.77,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,51.63,0.112,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,2,,,164,184,2.71,15.58,18.91,3478.6,3.5,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,18.91,0.185,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,2,,,170,229,2.53,12.47,20.12,4606.46,2.75,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,20.12,0.137,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,2,,,231,151,3.42,16.05,21.01,3172.43,4.36,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,21.01,0.208,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,2,,,66,7,4.17,22.68,46.15,323.03,4.46,LOW,Late Night,FALSE,2026-06-29 12:37:33.344,46.15,0.097,FALSE,2026-06-29 13:53:12.073 -0700
2024-01-01,3,,,79,477,2.85,15.59,18.85,8991.69,2.91,MEDIUM,Late Night,FALSE,2026-06-29 12:37:33.344,18.85,0.154,FALSE,2026-06-29 13:53:12.073 -0700
